date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
8/10/2025,714,MG,982.126053068155,1283,M,scrotal,8084,5,36.422,49.396,12.974,9.4,48.4,250
8/10/2025,810,MG,982.126.052.699.527,1260,M,part.scrotal,2237,1,3.647,14.287,10.64,10.6,54.8,200
8/10/2025,815,MG,982.126.052.699.527,1260,M,part.scrotal,2237,2,321.126,336.645,15.519,10.4,52.4,200
8/10/2025,824,MG,982.126.052.699.527,1260,M,part.scrotal,2237,3,892.316,896.867,4.551,12.4,56.3,200
8/10/2025,845,MG,982.126.052.699.537,1260,M,part.scrotal,2237,4,612.167,618.836,6.669,8.9,65.9,200
8/10/2025,820,MG,982.126.052.699.537,1260,M,part.scrotal,2237,5,615.823,629.715,13.892,10.6,52.4,200
8/9/2025,1403,MG,982.126.052.700.901,1289,F,non.repro,2264,1,799.753,801.813,2.06,14.5,27.6,230
8/9/2025,1436,MG,982.126.052.700.901,1289,F,non.repro,2264,2,0.035,7.396,7.361,10.3,15.6,230
8/9/2025,1558,MG,982.126.052.700.901,1289,F,non.repro,2264,3,0.024,4.868,4.844,7.3,39,230
8/9/2025,1619,MG,982.126.052.700.901,1289,F,non.repro,2264,4,0.015,2.116,2.101,8.6,40,230
8/9/2025,1628,MG,982.126.052.700.901,1289,F,non.repro,2264,5,0.232,9.753,9.521,9.9,9.4,230
